bin	line
-20	17.36
-19.95	18.54
-19.900000000000002	19.93
-19.85	21.37
-19.8	21.04
-19.75	20.74
-19.7	20.67
-19.650000000000002	21.59
-19.6	21.78
-19.55	21.48
-19.5	20.74
-19.45	21.52
-19.400000000000002	22.26
-19.35	23.37
-19.3	23
-19.25	22.44
-19.2	21.3
-19.150000000000002	20.7
-19.1	20.44
-19.05	20.3
-19	19.33
-18.95	17.74
-18.900000000000002	16
-18.85	15.26
-18.8	15.19
-18.75	15.22
-18.7	14.52
-18.650000000000002	13.85
-18.6	14.44
-18.55	16.89
-18.5	19.96
-18.45	21.67
-18.400000000000002	21.07
-18.35	19.26
-18.3	17.81
-18.25	17.81
-18.2	17.7
-18.150000000000002	17.26
-18.1	15.59
-18.05	15.19
-18	15.63
-17.95	18.07
-17.900000000000002	19.96
-17.85	21.48
-17.8	21.93
-17.75	23.78
-17.7	27.04
-17.650000000000002	31
-17.6	32.48
-17.55	30.67
-17.5	25.96
-17.45	22.33
-17.400000000000002	21.37
-17.35	24.22
-17.3	26.63
-17.25	27.7
-17.2	25.37
-17.150000000000002	23.78
-17.1	22.19
-17.05	23
-17	22.22
-16.95	22.74
-16.9	21.96
-16.85	23.48
-16.8	22.44
-16.75	21.78
-16.7	19.3
-16.65	20.07
-16.6	21.22
-16.55	23.3
-16.5	22.04
-16.45	20.52
-16.4	18.78
-16.35	20.7
-16.3	22.89
-16.25	25.19
-16.2	24.26
-16.15	22.33
-16.1	20.3
-16.05	20.67
-16	22.63
-15.950000000000001	25.07
-15.9	25.81
-15.85	25.37
-15.8	23.26
-15.75	21.04
-15.700000000000001	18.59
-15.65	17.78
-15.6	18
-15.55	19.26
-15.5	20.56
-15.450000000000001	23.11
-15.4	25.89
-15.35	28.37
-15.3	27.26
-15.25	24.52
-15.200000000000001	20.52
-15.15	18.93
-15.1	17.59
-15.05	17.59
-15	17.07
-14.950000000000001	18.11
-14.9	18.67
-14.85	19.37
-14.8	18.59
-14.75	19.19
-14.700000000000001	20.96
-14.65	25.11
-14.6	27.74
-14.55	28.11
-14.5	25
-14.450000000000001	22
-14.4	20.19
-14.35	21.07
-14.3	22.19
-14.25	23.44
-14.200000000000001	22.67
-14.15	21.78
-14.1	19.37
-14.05	18.59
-14	17.78
-13.950000000000001	19.11
-13.9	19.26
-13.85	19.93
-13.8	19.74
-13.75	21.04
-13.700000000000001	22.48
-13.65	24.74
-13.6	26.44
-13.55	27.85
-13.5	28
-13.450000000000001	28.07
-13.4	28.52
-13.35	29.67
-13.3	30.59
-13.25	30.96
-13.200000000000001	31.52
-13.15	32.33
-13.1	32.07
-13.05	29.85
-13	25.41
-12.950000000000001	22.22
-12.9	20.15
-12.85	20.63
-12.8	20.07
-12.75	20.11
-12.700000000000001	19.26
-12.65	19.56
-12.6	19.15
-12.55	19.19
-12.5	18.96
-12.450000000000001	20.33
-12.4	22.04
-12.35	25.56
-12.3	27.81
-12.25	30.41
-12.200000000000001	29.89
-12.15	30.48
-12.1	29.33
-12.05	29.7
-12	27.22
-11.950000000000001	25.3
-11.9	22.22
-11.85	21.37
-11.8	20.67
-11.75	21.33
-11.700000000000001	21.78
-11.65	23.15
-11.6	24.07
-11.55	25.56
-11.5	26.04
-11.450000000000001	27.52
-11.4	27.48
-11.35	27.78
-11.3	25.15
-11.25	23.3
-11.200000000000001	20.78
-11.15	21.33
-11.1	22.52
-11.05	25.63
-11	27.89
-10.950000000000001	29.7
-10.9	28.96
-10.85	26.63
-10.8	22.67
-10.75	19.56
-10.700000000000001	18.04
-10.65	18.85
-10.6	20.59
-10.55	22.3
-10.5	23.04
-10.450000000000001	23.07
-10.4	21.85
-10.35	21.52
-10.3	22.15
-10.25	25.74
-10.200000000000001	27.37
-10.15	26.89
-10.1	22.33
-10.05	19.33
-10	17.96
-9.950000000000001	19.63
-9.9	21.44
-9.85	23.78
-9.8	25.15
-9.75	25.48
-9.700000000000001	23.89
-9.65	22.22
-9.6	20.67
-9.55	20.7
-9.5	20.22
-9.450000000000001	21.15
-9.4	21.33
-9.35	22.85
-9.3	22.26
-9.25	22.3
-9.200000000000001	21.07
-9.15	21.78
-9.1	21.26
-9.05	22.44
-9	22.74
-8.950000000000001	25.81
-8.9	27.07
-8.85	29.3
-8.8	28.22
-8.75	28.26
-8.700000000000001	26.52
-8.65	26.41
-8.6	24.78
-8.55	24.04
-8.5	22.56
-8.45	23.11
-8.4	23.48
-8.35	24.56
-8.3	23.19
-8.25	22.04
-8.2	19.81
-8.15	19.74
-8.1	19.3
-8.05	20.33
-8	20.37
-7.95	20.78
-7.9	19.78
-7.8500000000000005	18.89
-7.8	17.67
-7.75	17.85
-7.7	18.04
-7.65	18.52
-7.6000000000000005	17.41
-7.55	16.74
-7.5	15.67
-7.45	16.04
-7.4	16
-7.3500000000000005	17.26
-7.3	18.04
-7.25	20.04
-7.2	21.44
-7.15	24.19
-7.1000000000000005	25.33
-7.05	26.96
-7	26.11
-6.95	26.78
-6.9	25.89
-6.8500000000000005	27.15
-6.8	26.7
-6.75	27.78
-6.7	27.26
-6.65	27.93
-6.6000000000000005	27.44
-6.55	28.33
-6.5	27.96
-6.45	28.04
-6.4	26.3
-6.3500000000000005	26.7
-6.3	27.7
-6.25	31.33
-6.2	33.7
-6.15	35.19
-6.1000000000000005	33.7
-6.05	31.41
-6	28.93
-5.95	27.85
-5.9	26.37
-5.8500000000000005	24.78
-5.8	22.44
-5.75	22.04
-5.7	22.11
-5.65	23.11
-5.6000000000000005	22.59
-5.55	23.15
-5.5	23.89
-5.45	26.59
-5.4	27.89
-5.3500000000000005	28.56
-5.3	26.96
-5.25	25.7
-5.2	24.3
-5.15	24.74
-5.1000000000000005	25.15
-5.05	27.15
-5	28.48
-4.95	31.11
-4.9	31.93
-4.8500000000000005	32.52
-4.8	30.67
-4.75	29.59
-4.7	27.41
-4.65	27.37
-4.6000000000000005	25.93
-4.55	25.89
-4.5	22.78
-4.45	20.63
-4.4	17.11
-4.3500000000000005	16.52
-4.3	15.81
-4.25	17.37
-4.2	18.15
-4.15	19.63
-4.1	18.67
-4.05	17.7
-4	16.26
-3.95	17.52
-3.9	18.7
-3.85	20.56
-3.8000000000000003	19.93
-3.75	19.78
-3.7	18.41
-3.65	18.52
-3.6	17.44
-3.5500000000000003	16.93
-3.5	15.52
-3.45	15.93
-3.4	17.07
-3.35	21.04
-3.3000000000000003	24.48
-3.25	28.22
-3.2	27.81
-3.15	26.81
-3.1	24.19
-3.0500000000000003	23.7
-3	22.85
-2.95	22.04
-2.9	20.3
-2.85	18.59
-2.8000000000000003	17.78
-2.75	18.63
-2.7	20.3
-2.65	22.59
-2.6	23.11
-2.5500000000000003	23.74
-2.5	22.33
-2.45	22.26
-2.4	21.89
-2.35	25.3
-2.3000000000000003	28.89
-2.25	33.15
-2.2	33.07
-2.15	32.3
-2.1	29.59
-2.05	29.56
-2	27.78
-1.95	28
-1.9000000000000001	26.52
-1.85	28.3
-1.8	28.37
-1.75	29.63
-1.7	28.04
-1.6500000000000001	27.26
-1.6	25.33
-1.55	25.11
-1.5	24.81
-1.45	25.78
-1.4000000000000001	26.19
-1.35	26.44
-1.3	26.3
-1.25	26.63
-1.2	27.89
-1.1500000000000001	29.7
-1.1	30.33
-1.05	29.52
-1	26.07
-0.9500000000000001	22.56
-0.9	18.22
-0.85	15.74
-0.8	14.96
-0.75	17.52
-0.7000000000000001	21.85
-0.65	25.78
-0.6	28.41
-0.55	30.67
-0.5	34.78
-0.45	40.74
-0.4	47.3
-0.35000000000000003	55.52
-0.3	66.44
-0.25	82.56
-0.2	99.19
-0.15	116.74
-0.1	128.7
-0.05	140.67
0	146.85
0.05	157.96
0.1	165.63
0.15	177.78
0.2	180.81
0.25	184.81
0.3	179.74
0.35000000000000003	178.81
0.4	171.7
0.45	172.89
0.5	170
0.55	176.96
0.6	176.78
0.65	185.44
0.7000000000000001	183.78
0.75	187.48
0.8	174.63
0.85	164.96
0.9	145
0.9500000000000001	135.56
1	120.78
1.05	113.04
1.1	101.04
1.1500000000000001	95.19
1.2	86.56
1.25	80.85
1.3	72.78
1.35	67.78
1.4000000000000001	58.74
1.45	51.37
1.5	41.26
1.55	36.81
1.6	31.81
1.6500000000000001	31.3
1.7	30.22
1.75	32.59
1.8	33.67
1.85	35.41
1.9000000000000001	34.59
1.95	34.37
2	31.59
2.05	30.33
2.1	28.37
2.15	30.96
2.2	32.56
2.25	36.15
2.3000000000000003	34.93
2.35	35.19
2.4	32.26
2.45	32.74
2.5	30.56
2.5500000000000003	29.67
2.6	25.59
2.65	22.67
2.7	19.22
2.75	18.19
2.8000000000000003	18.22
2.85	20.22
2.9	21.93
2.95	22.78
3	21.67
3.0500000000000003	20.44
3.1	20.07
3.15	21.93
3.2	24.56
3.25	28.56
3.3000000000000003	31.52
3.35	34.89
3.4	34.85
3.45	35.11
3.5	32.78
3.5500000000000003	33
3.6	31.33
3.65	32.15
3.7	30.78
3.75	32.11
3.8000000000000003	31.59
3.85	32.63
3.9	30.37
3.95	28.44
4	25.67
4.05	25.63
4.1	26.81
4.15	29.15
4.2	30.33
4.25	29.78
4.3	27.59
4.3500000000000005	25.52
4.4	23.85
4.45	22.74
4.5	21.37
4.55	21.48
4.6000000000000005	22.26
4.65	24.11
4.7	24.7
4.75	24.96
4.8	23.41
4.8500000000000005	22.07
4.9	20.67
4.95	22.26
5	24.19
5.05	27.44
5.1000000000000005	28.04
5.15	29.26
5.2	28.41
5.25	29.19
5.3	28.41
5.3500000000000005	30.19
5.4	31.63
5.45	34.93
5.5	34.96
5.55	33.63
5.6000000000000005	29.78
5.65	27.56
5.7	25.81
5.75	26.52
5.8	26.74
5.8500000000000005	28.59
5.9	27.93
5.95	28.26
6	25.74
6.05	25.19
6.1000000000000005	22.63
6.15	22.33
6.2	20.78
6.25	22.63
6.3	24.37
6.3500000000000005	29.52
6.4	31.96
6.45	34.81
6.5	33
6.55	34.22
6.6000000000000005	34.93
6.65	40.15
6.7	40.44
6.75	39.26
6.8	32.19
6.8500000000000005	27.52
6.9	22.44
6.95	21.67
7	20.78
7.05	22.19
7.1000000000000005	21.63
7.15	21.41
7.2	20.15
7.25	21.67
7.3	23.93
7.3500000000000005	28.48
7.4	31.3
7.45	34.78
7.5	35.33
7.55	36.04
7.6000000000000005	33.07
7.65	30.3
7.7	26.37
7.75	25.67
7.8	26.41
7.8500000000000005	28.81
7.9	29.33
7.95	27.93
8	24.48
8.05	22.26
8.1	21.37
8.15	22.7
8.2	23
8.25	24.19
8.3	25.04
8.35	28.93
8.4	32.04
8.45	36.11
8.5	37.52
8.55	39.41
8.6	38.22
8.65	36.59
8.700000000000001	32.3
8.75	29.22
8.8	25.63
8.85	23.7
8.9	21.3
8.950000000000001	20.81
9	20.44
9.05	21.52
9.1	21.7
9.15	23.3
9.200000000000001	24.48
9.25	26.89
9.3	27.37
9.35	28.07
9.4	26.63
9.450000000000001	26.07
9.5	24.3
9.55	24.85
9.6	24.63
9.65	26.3
9.700000000000001	26
9.75	27.89
9.8	28.67
9.85	31.85
9.9	32.11
9.950000000000001	32.37
10	29.44
10.05	28.33
10.1	26.56
10.15	27.59
10.200000000000001	27.63
10.25	28.48
10.3	27
10.35	27
10.4	28.19
10.450000000000001	31.93
10.5	34.22
10.55	34.22
10.6	31.33
10.65	28.7
10.700000000000001	27.15
10.75	28.67
10.8	30.85
10.85	34.7
10.9	36.26
10.950000000000001	37.37
11	34.26
11.05	31.44
11.1	27.81
11.15	27.59
11.200000000000001	26.85
11.25	27.19
11.3	26.37
11.35	27.89
11.4	29.15
11.450000000000001	30.7
11.5	29.74
11.55	28.59
