bin	line
-20	4.6
-19.95	4.36
-19.900000000000002	3.57
-19.85	2.93
-19.8	2.22
-19.75	2
-19.7	1.67
-19.650000000000002	1.37
-19.6	0.89
-19.55	0.63
-19.5	0.63
-19.45	0.89
-19.400000000000002	1.07
-19.35	1.04
-19.3	0.74
-19.25	0.56
-19.2	0.67
-19.150000000000002	1.44
-19.1	2.37
-19.05	3.26
-19	3.22
-18.95	2.85
-18.900000000000002	2.19
-18.85	2.26
-18.8	2.59
-18.75	3.3
-18.7	3.44
-18.650000000000002	3.22
-18.6	2.44
-18.55	1.81
-18.5	1.3
-18.45	1.11
-18.400000000000002	0.93
-18.35	0.89
-18.3	0.89
-18.25	1.15
-18.2	1.56
-18.150000000000002	2
-18.1	2.11
-18.05	1.93
-18	1.74
-17.95	2.04
-17.900000000000002	2.67
-17.85	3.26
-17.8	3.33
-17.75	3.04
-17.7	2.67
-17.650000000000002	2.56
-17.6	2.56
-17.55	2.48
-17.5	2.04
-17.45	1.56
-17.400000000000002	1.19
-17.35	1.3
-17.3	1.48
-17.25	1.59
-17.2	1.37
-17.150000000000002	1.04
-17.1	0.67
-17.05	0.44
-17	0.41
-16.95	0.63
-16.9	0.93
-16.85	1.19
-16.8	1.37
-16.75	1.52
-16.7	1.67
-16.65	1.59
-16.6	1.41
-16.55	1.07
-16.5	0.89
-16.45	0.67
-16.4	0.48
-16.35	0.22
-16.3	0.07
-16.25	0
-16.2	0.07
-16.15	0.26
-16.1	0.56
-16.05	0.78
-16	0.89
-15.950000000000001	0.96
-15.9	1.15
-15.85	1.37
-15.8	1.41
-15.75	1.41
-15.700000000000001	1.48
-15.65	2.04
-15.6	2.59
-15.55	3.07
-15.5	2.89
-15.450000000000001	2.52
-15.4	2.07
-15.35	2.11
-15.3	2.26
-15.25	2.44
-15.200000000000001	2.52
-15.15	2.85
-15.1	3.33
-15.05	3.67
-15	3.56
-14.950000000000001	3.19
-14.9	2.67
-14.85	2.22
-14.8	1.81
-14.75	1.96
-14.700000000000001	2.3
-14.65	2.85
-14.6	2.78
-14.55	2.63
-14.5	2.19
-14.450000000000001	2.26
-14.4	2.44
-14.35	2.93
-14.3	3.19
-14.25	3.37
-14.200000000000001	3.37
-14.15	3.41
-14.1	3.33
-14.05	3.48
-14	3.56
-13.950000000000001	4
-13.9	4.19
-13.85	4.48
-13.8	4.07
-13.75	3.74
-13.700000000000001	3.3
-13.65	3.56
-13.6	3.74
-13.55	4.15
-13.5	4.15
-13.450000000000001	4.3
-13.4	3.96
-13.35	3.78
-13.3	3.37
-13.25	3.22
-13.200000000000001	2.74
-13.15	2.33
-13.1	1.89
-13.05	1.78
-13	1.7
-12.950000000000001	1.96
-12.9	2.37
-12.85	3
-12.8	3.11
-12.75	2.89
-12.700000000000001	2.3
-12.65	1.93
-12.6	1.59
-12.55	1.56
-12.5	1.7
-12.450000000000001	2.22
-12.4	2.48
-12.35	2.44
-12.3	1.93
-12.25	1.59
-12.200000000000001	1.37
-12.15	1.33
-12.1	1.3
-12.05	1.41
-12	1.59
-11.950000000000001	1.63
-11.9	1.44
-11.85	1.22
-11.8	1.04
-11.75	0.93
