bin	count
-10000	23.33
-9950	33.7
-9900	45.56
-9850	60.59
-9800	62.15
-9750	68.33
-9700	64.04
-9650	68.07
-9600	61.67
-9550	65.44
-9500	61.48
-9450	68.22
-9400	64.07
-9350	65.81
-9300	56.33
-9250	56.78
-9200	51.78
-9150	57
-9100	53.15
-9050	56
-9000	51.44
-8950	58.59
-8900	59.44
-8850	68.96
-8800	66.56
-8750	70.81
-8700	63.52
-8650	65.63
-8600	59.59
-8550	65.48
-8500	63.07
-8450	70.22
-8400	66.41
-8350	71.26
-8300	65.3
-8250	69.22
-8200	63.85
-8150	68.26
-8100	61.81
-8050	63.67
-8000	57.19
-7950	61.37
-7900	56.7
-7850	60.3
-7800	56.33
-7750	64.52
-7700	64.33
-7650	70.48
-7600	63.26
-7550	63.11
-7500	54.37
-7450	55.89
-7400	50.78
-7350	54.7
-7300	50.52
-7250	53.07
-7200	47.67
-7150	50.89
-7100	48.41
-7050	53.78
-7000	49.81
-6950	51
-6900	45.11
-6850	48.96
-6800	47.26
-6750	52.15
-6700	48.15
-6650	50.85
-6600	46.93
-6550	51.33
-6500	48.7
-6450	53.07
-6400	49.19
-6350	52.74
-6300	49.48
-6250	55
-6200	52.7
-6150	57.07
-6100	52.15
-6050	54.67
-6000	49.93
-5950	53.41
-5900	48.96
-5850	52.07
-5800	48.59
-5750	54.59
-5700	53.26
-5650	60.48
-5600	59.74
-5550	68.37
-5500	65.67
-5450	69.41
-5400	62.56
-5350	67.22
-5300	63.56
-5250	68.59
-5200	62.22
-5150	65.44
-5100	60.93
-5050	67.56
-5000	64.11
-4950	67.74
-4900	60
-4850	61.74
-4800	56.48
-4750	64.22
-4700	65.07
-4650	77.19
-4600	77
-4550	83.37
-4500	74.15
-4450	71.48
-4400	57.63
-4350	54.7
-4300	46.93
-4250	51.11
-4200	49.22
-4150	54.67
-4100	51.37
-4050	55.26
-4000	51.3
-3950	55.11
-3900	50.93
-3850	53.78
-3800	48.19
-3750	50.04
-3700	45.93
-3650	51.93
-3600	51.78
-3550	58.48
-3500	54.63
-3450	56.93
-3400	51.56
-3350	56.33
-3300	54.04
-3250	58.85
-3200	53.48
-3150	55.15
-3100	49.74
-3050	54.56
-3000	52.89
-2950	60.7
-2900	60.19
-2850	68.81
-2800	66.85
-2750	72.33
-2700	65.7
-2650	68.48
-2600	62.7
-2550	68
-2500	63.07
-2450	65.52
-2400	57.63
-2350	60.04
-2300	55.81
-2250	61.56
-2200	57.74
-2150	62.63
-2100	59.93
-2050	69
-2000	68.26
-1950	75.41
-1900	70.26
-1850	74.3
-1800	66.7
-1750	68
-1700	60.26
-1650	64.85
-1600	61.41
-1550	68.37
-1500	66.37
-1450	77
-1400	77.22
-1350	86.52
-1300	80.7
-1250	84.96
-1200	77.59
-1150	83.3
-1100	77.19
-1050	83.04
-1000	77.7
-950	86.04
-900	82.33
-850	90.44
-800	85.3
-750	93.56
-700	88.41
-650	96.3
-600	90.56
-550	100.52
-500	97.22
-450	109.3
-400	105.33
-350	119.52
-300	119.3
-250	143.96
-200	151.41
-150	187.11
-100	198.07
-50	236.26
0	234.26
50	250.85
100	222.3
150	217.85
200	180.89
250	173.81
300	145.59
350	145.56
400	125.74
450	125.04
500	106.56
550	107.37
600	94.67
650	97.7
700	86.74
750	92.96
800	89.93
850	102.04
900	95.3
950	94.37
1000	78.19
1050	78.56
1100	71.56
1150	76
1200	67.26
1250	67.89
1300	60.26
1350	65.07
1400	61.78
1450	67.15
1500	61.15
1550	64.33
1600	60.44
1650	69.56
1700	69.11
1750	74.81
1800	65.85
1850	65
1900	57.15
1950	62.89
2000	61
2050	67.44
2100	62.81
2150	66.44
2200	60.07
