bin	count
-10000	1.65
-9950	1.73
-9900	1.83
-9850	1.85
-9800	1.81
-9750	1.96
-9700	2.3
-9650	2.78
-9600	2.93
-9550	2.93
-9500	2.63
-9450	2.67
-9400	2.7
-9350	3.11
-9300	3.26
-9250	3.52
-9200	3.41
-9150	3.3
-9100	2.7
-9050	2.11
-9000	1.41
-8950	1.15
-8900	1
-8850	1.3
-8800	1.67
-8750	2.37
-8700	2.7
-8650	2.93
-8600	2.63
-8550	2.52
-8500	2.33
-8450	2.56
-8400	2.74
-8350	3
-8300	3
-8250	2.93
-8200	2.74
-8150	2.63
-8100	2.52
-8050	2.41
-8000	2.15
-7950	1.96
-7900	2.07
-7850	2.7
-7800	3.44
-7750	3.89
-7700	3.7
-7650	3.07
-7600	2.3
-7550	1.67
-7500	1.3
-7450	1.37
-7400	1.7
-7350	2.44
-7300	2.96
-7250	3.3
-7200	2.85
-7150	2.19
-7100	1.48
-7050	1.48
-7000	1.93
-6950	2.74
-6900	3.3
-6850	3.85
-6800	4.07
-6750	4.26
-6700	3.93
-6650	3.48
-6600	2.93
-6550	2.67
-6500	2.41
-6450	2.15
-6400	1.85
-6350	1.78
-6300	1.74
-6250	1.7
-6200	1.63
-6150	1.85
-6100	2.26
-6050	2.7
-6000	2.85
-5950	2.85
-5900	2.67
-5850	2.74
-5800	2.7
-5750	2.93
-5700	2.67
-5650	2.56
-5600	2.07
-5550	2
-5500	1.78
-5450	1.81
-5400	1.63
-5350	1.59
-5300	1.48
-5250	1.52
-5200	1.48
-5150	1.56
-5100	1.52
-5050	1.48
-5000	1.19
-4950	0.93
-4900	0.78
-4850	1
-4800	1.48
-4750	2.11
-4700	2.7
-4650	3.19
-4600	3.3
-4550	3.22
-4500	2.81
-4450	2.52
-4400	2.07
-4350	1.93
-4300	1.81
-4250	2.11
-4200	2.44
-4150	2.93
-4100	3
-4050	2.81
-4000	2.33
-3950	2.11
-3900	2.07
-3850	2.3
-3800	2.52
-3750	2.74
-3700	2.7
-3650	2.52
-3600	2.15
-3550	1.89
-3500	1.52
-3450	1.3
-3400	1.19
-3350	1.59
-3300	2.3
-3250	3.22
-3200	3.7
-3150	3.81
-3100	3.37
-3050	3.11
-3000	2.78
-2950	2.7
-2900	2.44
-2850	2.41
-2800	2.3
-2750	2.26
-2700	2
-2650	1.85
-2600	1.63
-2550	1.7
-2500	1.81
-2450	2.26
-2400	2.52
-2350	2.63
-2300	2.41
-2250	2.19
-2200	2.04
-2150	2.11
-2100	2.3
-2050	2.74
-2000	3.15
-1950	3.63
-1900	3.67
-1850	3.48
-1800	2.93
-1750	2.52
-1700	2.22
-1650	2.11
-1600	1.89
-1550	1.7
-1500	1.63
-1450	1.93
-1400	2.26
-1350	2.56
-1300	2.48
-1250	2.41
-1200	2.22
-1150	2.37
-1100	2.44
-1050	2.67
-1000	2.56
-950	2.48
-900	2.33
-850	2.37
-800	2.33
-750	2.15
-700	1.78
-650	1.52
-600	1.56
-550	2.22
-500	3.19
-450	4.37
-400	4.96
-350	5.22
-300	4.93
-250	4.81
-200	4.63
-150	5.11
-100	6.15
-50	8.3
0	10.22
50	11.74
100	12
150	12.19
200	11.78
250	11.44
300	10.52
350	10.15
400	10
450	10.63
500	11.11
550	11.48
600	11.11
650	10.59
700	9.93
750	9.74
800	9.33
850	9
900	8.19
950	7.7
1000	7.15
1050	6.93
1100	6.41
1150	5.85
1200	4.96
1250	4.3
1300	3.74
1350	3.63
1400	3.41
1450	3.26
1500	2.93
1550	3.07
1600	3.33
1650	3.81
1700	3.63
1750	3.41
1800	3.04
