v	layers
-4.35	Ect
-9.97	Ect
-4.48	Ect
4.97	Ect
4.22	Ect
5.31	Ect
-3.87	Ect
5.2	Ect
-1.67	Ect
-8.95	Ect
1.23	Ect
-5.69	Ect
-9.76	Ect
2	Ect
-6.29	Ect
5.49	Ect
-5.84	Ect
-0.15	Ect
2.14	Ect
0.9	Ect
0.64	Ect
-5.2	Ect
5.84	Ect
2.22	Ect
1.13	Ect
-9.84	Ect
3.77	Ect
-2.95	Ect
-8.42	Ect
0.12	Ect
5.67	Ect
3.27	Ect
-8.01	Ect
-0.66	Ect
-7.84	Ect
1.08	Ect
-10.02	Ect
5.84	Ect
-4.05	Ect
9.54	Ect
0.03	Ect
0.59	Ect
4.16	Ect
8.06	Ect
4.9	Ect
-0.05	Ect
-1.06	Ect
-3.28	Ect
-9.86	Ect
1.38	Ect
-8.52	Ect
-5.11	Ect
-5.97	Ect
-8.03	Ect
-7.27	Ect
-6.75	Ect
-7.29	Ect
-7.3	Ect
7.3	Ect
0.17	Ect
-0.7	Ect
0.95	Ect
0.83	Ect
-7.54	Ect
-8.06	Ect
-8.03	Ect
-8.23	Ect
-10.01	Ect
-1.39	Ect
1.34	Ect
1.85	Ect
3.3	Ect
5.48	Ect
2.77	Ect
-3.1	Ect
-9.85	Ect
1.59	Ect
-4.33	Ect
3.29	Ect
4.98	Ect
-7.96	Ect
-7.6	Ect
-7.51	Ect
3.77	Ect
1.7	Ect
4.1	Ect
1.66	Ect
-3.59	Ect
0.95	Ect
4.31	Ect
6.24	Ect
1.08	Ect
-7.38	Ect
-0.04	Ect
-1.51	Ect
-9.19	Ect
-1.12	Ect
2.6	Ect
0.09	Ect
0.74	Ect
2.01	Ect
-8.43	Ect
-5.61	Ect
2.39	Ect
2.07	Ect
2.9	Ect
2.09	Ect
-0.44	Ect
2.49	Ect
0.6	Ect
1.87	Ect
7.94	Ect
4.82	Ect
-2.28	Ect
1.76	Ect
-8.02	Ect
-7.65	Ect
-8.96	Ect
0.14	Ect
4.69	Ect
4.69	Ect
-0.47	Ect
-1.1	Ect
1.63	Ect
2.72	Ect
5.35	Ect
-8.42	Ect
-6.89	Ect
4.6	Ect
5.17	Ect
2.93	Ect
0.79	Ect
-4.11	Ect
-0.04	Ect
-7.07	Ect
5	Ect
-9.17	Ect
9.24	Ect
3.91	Ect
2.83	Ect
3.71	Ect
-7.45	Ect
-7.01	Ect
2.32	Ect
-5.75	Ect
-4.79	Ect
-2.97	Ect
-9.85	Ect
-9.31	Ect
-7.08	Ect
-9	Ect
-1.96	Ect
-2.56	Ect
-7.89	Ect
-6.94	Ect
5.35	Ect
-6.05	Ect
-0.67	Ect
1.5	Ect
0.1	Ect
2.68	Ect
5.23	Ect
-9.17	Ect
6.17	Ect
4.78	Ect
2.39	Ect
2.43	Ect
-4.09	Ect
2.09	Ect
-5.66	Ect
-1.28	Ect
5.21	Ect
-1.39	Ect
-3.13	Ect
4.55	Ect
-2.99	Ect
-6.52	Ect
2.58	Ect
1.45	Ect
0.13	Ect
-1.33	Ect
0.05	Ect
1.32	Ect
1.2	Ect
-9.83	Ect
0.9	Ect
1.33	Ect
-8.49	Ect
2.51	Ect
3.5	Ect
2.9	Ect
4.7	Ect
-5.49	Ect
2.02	Ect
-2.71	Ect
-2.37	Ect
4.42	Ect
2.29	Ect
-2.07	Ect
6.54	Ect
3.52	Ect
9.11	Ect
9.51	Ect
5.84	Ect
-3.49	Ect
2.71	Ect
-2.25	Ect
-7.77	Ect
-7.55	Ect
-3.14	Ect
4.42	Ect
-2.27	Ect
1.8	Ect
4.14	Ect
-10.18	Ect
-5.14	Ect
-5.25	Ect
-9.32	Ect
7.82	Ect
4.69	Ect
5.31	Ect
4.79	Ect
5.06	Ect
1.04	Ect
7.45	Ect
-7.72	Ect
0.77	Ect
1.43	Ect
0.71	Ect
0.31	Ect
4.11	Ect
-0.16	Ect
1.07	Ect
-6.65	Ect
3.2	Ect
8.5	Ect
8.11	Ect
-1.9	Ect
0.52	Ect
-4.46	Ect
4.83	Ect
-0.63	Ect
1.16	Ect
3.29	Ect
3.88	Ect
3.1	Ect
-9.68	Ect
-8.29	Ect
-2.6	Ect
-5.15	Ect
0.49	Ect
0.13	Ect
4.72	Ect
8.45	Ect
-4.06	Ect
1.26	Ect
-2.23	Ect
-4.89	Ect
-6.69	Ect
4.12	Ect
1.02	Ect
3.42	Ect
3.4	Ect
1.66	Ect
-0.15	Ect
-1.13	Ect
-3.18	Ect
-6.6	Ect
-3.95	Ect
-6.72	Ect
-1.14	Ect
-6.61	Ect
4.63	Ect
0.36	Ect
-8.43	Ect
-6.39	Ect
-1.1	Ect
-2.1	Ect
4.1	Ect
-0.81	Ect
3.76	Ect
-5.42	Ect
2.81	Ect
-4.53	Ect
-6.15	Ect
-0.63	Ect
-0.98	Ect
-10.01	Ect
1.25	Ect
-10.12	Ect
5.79	Ect
2.25	Ect
1.15	Ect
4.67	Ect
-5.2	Ect
4.8	Ect
-9.25	Ect
1.71	Ect
-9.26	Ect
9.79	Ect
7.64	Ect
-1.57	Ect
-5.81	Ect
-3.06	Ect
-8.13	Ect
-4.93	Ect
-7.23	Ect
7.21	Ect
-3.43	Ect
7	Ect
3.09	Ect
-0.76	Ect
-3.98	Ect
-8.95	Ect
0.96	Ect
-2.91	Ect
4.44	Ect
6.17	Ect
-0.8	Ect
1.05	Ect
2.39	Ect
3.94	Ect
-1.89	Ect
3.14	Ect
-0.24	Ect
-8.7	Ect
-0	Ect
-5.89	Ect
-5.54	Ect
-7.76	Ect
-7.32	Ect
-4	Ect
-8.2	Ect
3.33	Ect
-8.1	Ect
1.78	Ect
1.92	Ect
1.98	Ect
1.81	Ect
2.01	Ect
2.32	Ect
-0.15	Ect
4.42	Ect
4.63	Ect
0.07	Ect
-1.67	Ect
-1.21	Ect
4.74	Ect
1.13	Ect
1.28	Ect
3.59	Ect
-3.15	Ect
2.74	Ect
1.59	Ect
-1.33	Ect
-2.43	Ect
1.69	Ect
-0.99	Ect
2.39	Ect
-4.64	Ect
-0.69	Ect
6.4	Ect
-0.36	Ect
3.67	Ect
1.54	Ect
-8.36	Ect
-8.38	Ect
0.71	Ect
-0.37	Ect
5.2	Ect
3.66	Ect
-4.41	Ect
3.67	Ect
-5.69	Ect
-6.65	Ect
-0.19	Ect
0.56	Ect
-9.76	Ect
-5.06	Ect
4	Ect
-7.66	Ect
2.31	Ect
-2.86	Ect
1.37	Ect
-2.97	Ect
-1.02	Ect
1.51	Ect
-0.42	Ect
3.48	Ect
-1.4	Ect
-3.84	Ect
-9.8	Ect
-4.95	Ect
-9.83	Ect
3.69	Ect
5.21	Ect
-8.42	Ect
-8.09	Ect
6.69	Ect
-2.68	Ect
0.88	Ect
3.88	Ect
8.1	Ect
-7.47	Ect
10.29	Ect
2.72	Ect
4.11	Ect
-1.93	Ect
1.25	Ect
-8.14	Ect
-8.29	Ect
-7.81	Ect
-1.93	Ect
-8.06	Ect
-1.63	Ect
-8.01	Ect
3.21	Ect
0.39	Ect
2.18	Ect
-1.7	Ect
-3.15	Ect
-6.7	Ect
-6.67	Ect
2.26	Ect
-6.26	Ect
2.4	Ect
1.58	Ect
-8.25	Ect
-8.2	Ect
-8.22	Ect
-8.76	Ect
-8.32	Ect
-9.51	Ect
-8.2	Ect
-8.21	Ect
0.55	Ect
-8.22	Ect
-4.61	Ect
4.12	Ect
-7.57	Ect
-7.02	Ect
-6.14	Ect
3.27	Ect
3.42	Ect
0.33	Ect
2.43	Ect
-4.77	Ect
-4.2	Ect
-1.18	Ect
6.53	Ect
-6.17	Ect
-3.53	Ect
-5.13	Ect
-3.05	Ect
2.25	Ect
0.67	Ect
-8.66	Ect
3.68	Ect
0.65	Ect
-7.36	Ect
-8.69	Ect
0.15	Ect
5.78	Ect
4.92	Ect
-1.61	Ect
2.56	Ect
-0.32	Ect
-7.48	Ect
6.32	Ect
6.49	Ect
-8.69	Ect
2.83	Ect
-8.76	Ect
1.47	Ect
0.01	Ect
2.65	Ect
-5.38	Ect
-7.19	Ect
1.65	Ect
-7.68	Ect
-1.65	Ect
-1.62	Ect
2.26	Ect
1.75	Ect
3.34	Ect
-5.28	Ect
4.87	Ect
6.19	Ect
-0.62	Ect
3.83	Ect
5.34	Ect
3.77	Ect
3.56	Ect
6.73	Ect
4.24	Ect
1.35	Ect
-8.57	Ect
-9.24	Ect
-8.01	Ect
2.23	Ect
-1.88	Ect
-8.17	Ect
-8.55	Ect
3.54	Ect
1.44	Ect
0.54	Ect
-8.73	Ect
-6.27	Ect
-4.83	Ect
-1.82	Ect
0.89	Ect
-4.54	Ect
-0.46	Ect
-1.03	Ect
-1.77	Ect
2.06	Ect
3.41	Ect
-2.67	Ect
-8.39	Ect
-7.81	Ect
-7.8	Ect
-7.28	Ect
-7.82	Ect
-7.8	Ect
