GE	layer
-9.97	Ect
-8.95	Ect
-5.84	Ect
-9.84	Ect
-3.1	Ect
-9.85	Ect
-9.19	Ect
-7.01	Ect
-6.94	Ect
-9.17	Ect
-6.52	Ect
-7.77	Ect
-3.14	Ect
-2.27	Ect
-6.65	Ect
-4.06	Ect
-5.42	Ect
2.25	Ect
-8.13	Ect
-8.95	Ect
-5.89	Ect
-7.76	Ect
-3.15	Ect
-4.64	Ect
-5.69	Ect
-9.51	Ect
-4.61	Ect
-7.48	Ect
-4.83	Ect
-6.79	Ect
-7.76	Ect
-3.9	Ect
-7.79	Ect
-4.99	Ect
-7.92	Ect
-7.84	Ect
-7.21	Ect
-10.23	Ect
-8.36	Ect
-9.26	Ect
-6.36	Ect
-9.3	Ect
-6.87	Ect
-6.1	Ect
-10.43	Ect
-7.02	Ect
-7.65	Ect
-3.74	Ect
-8.35	Ect
-7.46	Ect
-2.58	Ect
-8.97	Ect
-6.42	Ect
-4.2	Ect
3.33	Ect
2.15	Ect
-7.88	Ect
-8.07	Ect
-8.25	Ect
-8.18	Ect
-1.18	Ect
-3.07	Ect
-8.48	Ect
-5.05	Ect
-5.19	Ect
-8.93	Ect
-3.51	Ect
-9.62	Ect
-9.96	Ect
-5.24	Ect
-7	Ect
-7.66	Ect
-5.45	Ect
-4.78	Ect
-1.43	Ect
-1.97	Ect
-9.07	Ect
-5.74	Ect
0.29	Ect
-4.66	Ect
-6.27	Ect
-2.16	Ect
-2.23	Ect
-5.74	Ect
-3.64	Ect
-3.95	Ect
-5.24	Ect
-3.64	Ect
-3.45	Ect
-8.47	Ect
-8.19	Ect
-8.52	Ect
-7.86	Ect
-0.22	Ect
-8.57	Ect
-7.88	Ect
-0.03	Ect
-9.66	Ect
-1.96	Ect
1.09	Ect
-9.5	Ect
-5.57	Ect
-1.26	Ect
-8.42	Ect
-0.77	Ect
-2	Ect
-9.34	Ect
-2.07	Ect
-4.77	Ect
-8.2	Ect
-5.4	Ect
-6.6	Ect
-6.53	Ect
-0.09	Ect
-2.64	Ect
-3.55	Ect
-5.54	Ect
-1.45	Ect
-9.44	Ect
-7.04	Ect
-6.36	Ect
2.08	Ect
-9.15	Ect
-6.06	Ect
-5.51	Ect
0.4	Ect
-8.78	Ect
-1.21	Ect
-7.89	Ect
-3.26	Ect
-8.08	Ect
-7.3	Ect
-8.78	Ect
2.45	Ect
-4.43	Ect
2.33	Ect
-7.08	Ect
-7.34	Ect
-7.52	Ect
-8.84	Ect
-2.29	Ect
-6.36	Ect
1.56	Ect
-0.55	Ect
-6.98	Ect
-8.54	Ect
-5.43	Ect
-1.96	Ect
-2.19	Ect
-8.89	Ect
-6.51	Ect
-6.73	Ect
-9.87	Ect
-10.55	Ect
-8.93	Ect
-8.1	Ect
-7.98	Ect
-2.57	Ect
-1.3	Ect
-2.38	Ect
-1.35	Ect
1.94	Ect
-8.8	Ect
1.97	Ect
-7.46	Ect
1.41	Ect
-10.33	Ect
-3.25	Ect
-4.26	Ect
-5.68	Ect
-9.07	Ect
-3.72	Ect
-5.86	Ect
-8.66	Ect
-9.17	Ect
-5.54	Ect
-4.99	Ect
-9.12	Ect
-8.96	Ect
2.29	Ect
-5.13	Ect
