GE	layer
5.84	Ect
9.54	Ect
8.06	Ect
7.94	Ect
9.24	Ect
5.35	Ect
5.23	Ect
6.54	Ect
7.82	Ect
7.45	Ect
8.5	Ect
8.45	Ect
9.79	Ect
7.21	Ect
3.94	Ect
1.92	Ect
4.42	Ect
3.67	Ect
4	Ect
6.69	Ect
10.29	Ect
6.32	Ect
6.49	Ect
4.87	Ect
6.12	Ect
5.69	Ect
4.74	Ect
10.23	Ect
5.71	Ect
1.47	Ect
5.87	Ect
2.5	Ect
5.95	Ect
6.95	Ect
4.51	Ect
4.53	Ect
7.03	Ect
3.28	Ect
5.96	Ect
5.12	Ect
4.07	Ect
8.66	Ect
4.89	Ect
4.59	Ect
5.36	Ect
7.52	Ect
5.13	Ect
4.88	Ect
4.16	Ect
4.41	Ect
7.25	Ect
7.42	Ect
8.1	Ect
5.82	Ect
9.28	Ect
5.29	Ect
5.56	Ect
8.06	Ect
2.6	Ect
2.72	Ect
5.92	Ect
8.9	Ect
4.76	Ect
5.82	Ect
5.21	Ect
6.91	Ect
5.67	Ect
5.92	Ect
7.42	Ect
8.59	Ect
4.27	Ect
6.52	Ect
5.17	Ect
2.82	Ect
8.81	Ect
2.43	Ect
6.01	Ect
3.78	Ect
-5.39	Ect
2.74	Ect
8.67	Ect
6.16	Ect
3.11	Ect
5.75	Ect
6.29	Ect
6.28	Ect
2.37	Ect
4.55	Ect
5.43	Ect
6.41	Ect
7.58	Ect
7.4	Ect
5.5	Ect
5.88	Ect
4.82	Ect
6.83	Ect
7.16	Ect
6.44	Ect
6.26	Ect
5.83	Ect
8.22	Ect
8.3	Ect
5.88	Ect
5.02	Ect
6.93	Ect
10.22	Ect
4.67	Ect
4	Ect
6.96	Ect
6.31	Ect
6.16	Ect
10.11	Ect
6.29	Ect
7.56	Ect
4.68	Ect
6.99	Ect
8.54	Ect
6.94	Ect
11.59	Ect
4.73	Ect
5.21	Ect
8.04	Ect
4.01	Ect
6.05	Ect
6.02	Ect
6.84	Ect
6.74	Ect
7	Ect
7.8	Ect
6.24	Ect
8.84	Ect
4.64	Ect
5.35	Ect
8.17	Ect
9.34	Ect
5.12	Ect
8.1	Ect
10.19	Ect
6.75	Ect
7.27	Ect
8.05	Ect
6.43	Ect
2.12	Ect
7.5	Ect
5.33	Ect
5.31	Ect
3.53	Ect
7.43	Ect
8.97	Ect
3.54	Ect
4.54	Ect
4.81	Ect
6.06	Ect
5.64	Ect
5.86	Ect
8.78	Ect
3.03	Ect
8.56	Ect
3.24	Ect
4.78	Ect
8.41	Ect
7.76	Ect
10.23	Ect
9.07	Ect
5.64	Ect
3.74	Ect
6.71	Ect
5.18	Ect
4.57	Ect
8.89	Ect
5.87	Ect
7.78	Ect
7.67	Ect
4.91	Ect
4.02	Ect
4.52	Ect
8.35	Ect
7.66	Ect
6.92	Ect
4.78	Ect
4.57	Ect
8.46	Ect
7.64	Ect
7.21	Ect
6.89	Ect
3.52	Ect
7.34	Ect
5.6	Ect
6.14	Ect
6.2	Ect
6.16	Ect
7.44	Ect
3.24	Ect
4.96	Ect
5.89	Ect
3.61	Ect
3.3	Ect
4.61	Ect
7.24	Ect
2.78	Ect
4.94	Ect
5.02	Ect
9.16	Ect
2.05	Ect
6.58	Ect
3.34	Ect
2.93	Ect
8.03	Ect
2.97	Ect
4.31	Ect
5.06	Ect
4.39	Ect
5.56	Ect
1.94	Ect
7.32	Ect
9.72	Ect
5.74	Ect
4.26	Ect
5.33	Ect
4.56	Ect
5.98	Ect
8.67	Ect
11.06	Ect
8.03	Ect
8.38	Ect
5.77	Ect
4.73	Ect
6.35	Ect
4.87	Ect
6.5	Ect
6.07	Ect
8.44	Ect
3.85	Ect
5.27	Ect
6.99	Ect
7.08	Ect
7.6	Ect
3.93	Ect
5.11	Ect
3.18	Ect
6.76	Ect
5.95	Ect
1.83	Ect
11.53	Ect
2.11	Ect
4.73	Ect
7.35	Ect
8.33	Ect
5.07	Ect
7.04	Ect
10.37	Ect
2.13	Ect
6.86	Ect
5.1	Ect
5.91	Ect
6.6	Ect
7.26	Ect
9.32	Ect
7.73	Ect
3.64	Ect
3.1	Ect
5.28	Ect
4.1	Ect
4.69	Ect
4.18	Ect
3.38	Ect
8.98	Ect
10.21	Ect
7.22	Ect
7.31	Ect
7.49	Ect
3.77	Ect
5.92	Ect
6.87	Ect
7.1	Ect
3.95	Ect
11.09	Ect
6.77	Ect
4	Ect
5.19	Ect
7.43	Ect
4.89	Ect
6.93	Ect
3.4	Ect
6.39	Ect
9.17	Ect
7.45	Ect
10.1	Ect
7.03	Ect
5.59	Ect
7.88	Ect
2.62	Ect
2.42	Ect
8.2	Ect
4.76	Ect
7.84	Ect
3.51	Ect
7.59	Ect
10.03	Ect
5.57	Ect
6.55	Ect
