TSS_vic	freqEct	type_Ect	freqMes	type_Mes	freqSEG	type_SEG	type_DEG	freqDEG
-80000	0.37	highEct	0.32	highMes	0.04	highSEG	highDEG	0.345
-79000	0.39	highEct	0.31	highMes	0.04	highSEG	highDEG	0.35
-78000	0.44	highEct	0.31	highMes	0.04	highSEG	highDEG	0.375
-77000	0.49	highEct	0.29	highMes	0.04	highSEG	highDEG	0.39
-76000	0.47	highEct	0.3	highMes	0.04	highSEG	highDEG	0.385
-75000	0.43	highEct	0.31	highMes	0.04	highSEG	highDEG	0.37
-74000	0.43	highEct	0.33	highMes	0.04	highSEG	highDEG	0.38
-73000	0.43	highEct	0.33	highMes	0.05	highSEG	highDEG	0.38
-72000	0.45	highEct	0.35	highMes	0.05	highSEG	highDEG	0.4
-71000	0.48	highEct	0.35	highMes	0.05	highSEG	highDEG	0.415
-70000	0.49	highEct	0.34	highMes	0.05	highSEG	highDEG	0.41500000000000004
-69000	0.46	highEct	0.32	highMes	0.05	highSEG	highDEG	0.39
-68000	0.44	highEct	0.31	highMes	0.05	highSEG	highDEG	0.375
-67000	0.44	highEct	0.29	highMes	0.05	highSEG	highDEG	0.365
-66000	0.44	highEct	0.32	highMes	0.05	highSEG	highDEG	0.38
-65000	0.41	highEct	0.34	highMes	0.05	highSEG	highDEG	0.375
-64000	0.39	highEct	0.4	highMes	0.05	highSEG	highDEG	0.395
-63000	0.37	highEct	0.44	highMes	0.05	highSEG	highDEG	0.405
-62000	0.35	highEct	0.48	highMes	0.05	highSEG	highDEG	0.415
-61000	0.34	highEct	0.47	highMes	0.05	highSEG	highDEG	0.405
-60000	0.36	highEct	0.45	highMes	0.04	highSEG	highDEG	0.405
-59000	0.42	highEct	0.41	highMes	0.04	highSEG	highDEG	0.415
-58000	0.44	highEct	0.37	highMes	0.04	highSEG	highDEG	0.405
-57000	0.45	highEct	0.32	highMes	0.04	highSEG	highDEG	0.385
-56000	0.43	highEct	0.3	highMes	0.04	highSEG	highDEG	0.365
-55000	0.44	highEct	0.32	highMes	0.04	highSEG	highDEG	0.38
-54000	0.44	highEct	0.33	highMes	0.04	highSEG	highDEG	0.385
-53000	0.43	highEct	0.35	highMes	0.04	highSEG	highDEG	0.39
-52000	0.41	highEct	0.35	highMes	0.04	highSEG	highDEG	0.38
-51000	0.39	highEct	0.35	highMes	0.04	highSEG	highDEG	0.37
-50000	0.42	highEct	0.33	highMes	0.04	highSEG	highDEG	0.375
-49000	0.45	highEct	0.31	highMes	0.04	highSEG	highDEG	0.38
-48000	0.48	highEct	0.29	highMes	0.04	highSEG	highDEG	0.385
-47000	0.48	highEct	0.28	highMes	0.04	highSEG	highDEG	0.38
-46000	0.47	highEct	0.26	highMes	0.05	highSEG	highDEG	0.365
-45000	0.47	highEct	0.25	highMes	0.05	highSEG	highDEG	0.36
-44000	0.46	highEct	0.27	highMes	0.05	highSEG	highDEG	0.365
-43000	0.49	highEct	0.27	highMes	0.05	highSEG	highDEG	0.38
-42000	0.55	highEct	0.28	highMes	0.05	highSEG	highDEG	0.41500000000000004
-41000	0.63	highEct	0.3	highMes	0.04	highSEG	highDEG	0.46499999999999997
-40000	0.6	highEct	0.34	highMes	0.04	highSEG	highDEG	0.47
-39000	0.55	highEct	0.36	highMes	0.04	highSEG	highDEG	0.455
-38000	0.46	highEct	0.36	highMes	0.04	highSEG	highDEG	0.41000000000000003
-37000	0.41	highEct	0.35	highMes	0.04	highSEG	highDEG	0.38
-36000	0.34	highEct	0.36	highMes	0.04	highSEG	highDEG	0.35
-35000	0.3	highEct	0.33	highMes	0.05	highSEG	highDEG	0.315
-34000	0.28	highEct	0.35	highMes	0.05	highSEG	highDEG	0.315
-33000	0.26	highEct	0.39	highMes	0.04	highSEG	highDEG	0.325
-32000	0.24	highEct	0.45	highMes	0.04	highSEG	highDEG	0.345
-31000	0.25	highEct	0.48	highMes	0.04	highSEG	highDEG	0.365
-30000	0.27	highEct	0.47	highMes	0.04	highSEG	highDEG	0.37
-29000	0.3	highEct	0.42	highMes	0.04	highSEG	highDEG	0.36
