GE_diff	freq
-15	2
-14.7	0
-14.4	1
-14.1	0
-13.8	0
-13.5	2
-13.2	2
-12.9	0
-12.6	1
-12.3	5
-12	1
-11.7	2
-11.4	7
-11.1	5
-10.8	4
-10.5	9
-10.2	16
-9.9	8
-9.6	17
-9.3	19
-9	26
-8.7	19
-8.4	21
-8.1	31
-7.8	40
-7.5	31
-7.2	37
-6.9	48
-6.6	57
-6.3	50
-6	73
-5.7	65
-5.4	72
-5.1	57
-4.8	86
-4.5	87
-4.2	89
-3.9	96
-3.6	109
-3.3	111
-3	152
-2.7	166
-2.4	153
-2.1	252
-1.8	245
-1.5	350
-1.2	591
-0.9	814
-0.6	1445
-0.3	2342
0	2134
0.3	1440
0.6	763
0.9	442
1.2	355
1.5	258
1.8	287
2.1	198
2.4	154
2.7	217
3	110
3.3	155
3.6	152
3.9	68
4.2	123
4.5	148
4.8	91
5.1	90
5.4	55
5.7	67
6	54
6.3	61
6.6	65
6.9	60
7.2	51
7.5	65
7.8	41
8.1	46
8.4	43
8.7	39
9	29
9.3	25
9.6	25
9.9	18
10.2	9
10.5	13
10.8	12
11.1	8
11.4	11
11.7	4
12	5
12.3	6
12.6	3
12.9	3
13.2	0
13.5	2
13.8	1
14.1	1
14.4	0
14.7	2
