ge_ect	ge_end	ge_mes	gene_type
-3.87	-7.67	-7.8	DifEct
-1.67	-8.36	-10.23	DifEct
-3.28	-8.04	-4.84	DifEct
-6.75	-9.43	-11.29	DifEct
-1.39	-3.89	-3.62	DifEct
-1.12	-4.12	-2.61	DifEct
1.87	-0.97	-2.14	DifEct
-4.11	-8.24	-10.11	DifEct
-4.79	-7.92	-6.83	DifEct
-2.97	-6.55	-5.68	DifEct
-1.96	-7.39	-5.11	DifEct
-4.09	-7.42	-8.29	DifEct
-5.66	-8.65	-9.37	DifEct
-2.99	-8.09	-7.48	DifEct
-2.25	-7.4	-5.79	DifEct
-5.14	-8.4	-10.27	DifEct
-4.46	-7.45	-9.32	DifEct
-2.6	-7.36	-9.23	DifEct
-2.23	-9.04	-4.87	DifEct
-4.89	-8.21	-8.92	DifEct
-1.14	-4.86	-6.73	DifEct
-2.1	-9.31	-3.78	DifEct
-1.33	-6.91	-4.23	DifEct
-4.41	-7.33	-7.05	DifEct
-6.65	-9.23	-11.1	DifEct
-5.06	-8.9	-9.62	DifEct
-3.84	-7.26	-9.13	DifEct
-2.68	-6.68	-4.81	DifEct
-1.93	-5.65	-7.51	DifEct
-1.63	-7.13	-8.99	DifEct
0.39	-2.94	-3.3	DifEct
-3.53	-8.01	-6.14	DifEct
1.65	-2.56	-2.68	DifEct
-1.65	-5.08	-9.1	DifEct
-1.62	-4.22	-5.23	DifEct
-4.54	-7.91	-9.78	DifEct
-2.67	-7.05	-6.76	DifEct
-2.45	-5.07	-8.08	DifEct
-4.68	-7.88	-8.59	DifEct
-3.46	-6.38	-8.25	DifEct
1.65	-4.63	-0.89	DifEct
-2.91	-7.51	-9.23	DifEct
-4.79	-7.64	-9.5	DifEct
-3.42	-5.9	-7.77	DifEct
-3.61	-7.67	-9.54	DifEct
-5.72	-8.39	-10.26	DifEct
-4.64	-7.92	-9.94	DifEct
-0.84	-5.47	-4.25	DifEct
-2.22	-7.04	-8.91	DifEct
-3.4	-7.2	-9.07	DifEct
-0.97	-4.22	-2.52	DifEct
-2.58	-5.78	-7.64	DifEct
-4.04	-7.35	-9.22	DifEct
-1.77	-6.62	-8.48	DifEct
-0.06	-2.91	-6.93	DifEct
-2.6	-8.86	-8.58	DifEct
-0.05	-3.98	-5.37	DifEct
-2.66	-5.3	-8.9	DifEct
-2.47	-8.13	-5.52	DifEct
0.83	-1.62	-2.29	DifEct
-1.8	-6.21	-8.07	DifEct
-0.71	-6.89	-7.61	DifEct
-4.59	-7.17	-8.88	DifEct
-3.33	-8.58	-7.71	DifEct
-2.93	-6.31	-8.17	DifEct
-2.26	-6.6	-5.15	DifEct
-4.3	-8.5	-6.41	DifEct
-1	-3.54	-3.68	DifEct
-2.66	-7.19	-9.06	DifEct
-4.97	-7.55	-9.42	DifEct
-2.28	-4.85	-4.09	DifEct
-4.97	-9.59	-11.46	DifEct
-2.72	-7.98	-4.88	DifEct
1.26	-1.34	-1.28	DifEct
1.23	-5.23	-1.76	DifEct
-2.55	-9.07	-5.42	DifEct
-4.47	-8.02	-11.04	DifEct
-3.36	-7.04	-8.9	DifEct
-4.14	-8.17	-7.57	DifEct
-7.15	-9.99	-11.86	DifEct
-0.48	-6.03	-2.61	DifEct
-4.48	-8.41	-5.95	DifEct
-3.95	-7.8	-9.51	DifEct
-4.79	-7.86	-9.73	DifEct
0.09	-3.75	-1.47	DifEct
-2.45	-7.49	-5.11	DifEct
0.42	-6.24	-6.95	DifEct
-0.09	-7.97	-3.4	DifEct
-4.36	-8.84	-10.71	DifEct
-1.99	-7.53	-9.4	DifEct
1.15	-1.45	-1	DifEct
-5.71	-8.39	-8.51	DifEct
-2.73	-7.27	-9.13	DifEct
-0.77	-7.33	-3.55	DifEct
-0.22	-3.95	-2.45	DifEct
-0.2	-2.8	-6.25	DifEct
-2.83	-6.5	-4.52	DifEct
-3.81	-8.27	-10.13	DifEct
-1.01	-6.26	-4.27	DifEct
-2.82	-7.58	-6.71	DifEct
-2.66	-7.12	-4.13	DifEct
-4.02	-8.42	-10.29	DifEct
-2.88	-6.51	-8.38	DifEct
1.07	-2.83	-2.41	DifEct
-3.4	-5.92	-4.79	DifEct
-0.01	-3.5	-4.23	DifEct
-1.56	-6.32	-8.18	DifEct
0.11	-6.56	-2.25	DifEct
1.32	-4.52	-0.39	DifEct
-2.85	-6.65	-8.52	DifEct
8.79	6.33	6	DifEct
-3.31	-5.89	-7.75	DifEct
-3.56	-7.23	-9.1	DifEct
-1.87	-6.61	-4.52	DifEct
-0.76	-7.79	-4.26	DifEct
-4.15	-6.73	-8.44	DifEct
-0.63	-7.35	-3	DifEct
-1.52	-4.45	-3.17	DifEct
-0.38	-5.72	-7.58	DifEct
-0.72	-3.94	-4.06	DifEct
-1.03	-4.3	-4.66	DifEct
-2.33	-7.03	-8.89	DifEct
-1.68	-4.74	-6.61	DifEct
-2.3	-5.22	-7.09	DifEct
