ge_ect	ge_end	ge_mes	gene_type
-9.97	-8.5	-3.28	DifMes
-8.95	-7.47	-5.38	DifMes
-5.84	-7.32	-4.71	DifMes
-9.84	-8.21	-2.22	DifMes
-3.1	-1.82	0.51	DifMes
-9.85	-8.37	-3.38	DifMes
-9.19	-7.71	-2.28	DifMes
-7.01	-6.68	-4.39	DifMes
-6.94	-7.2	-3.96	DifMes
-9.17	-7.69	-4.82	DifMes
-6.52	-7.2	-3.36	DifMes
-7.77	-7.45	-5.46	DifMes
-3.14	-3.15	-0.51	DifMes
-2.27	-1.9	0.46	DifMes
-6.65	-6.91	-4.93	DifMes
-4.06	-6.54	-2.5	DifMes
-5.42	-6.26	1.19	DifMes
2.25	3.65	6.05	DifMes
-8.13	-6.81	-3.57	DifMes
-8.95	-7.47	-2.46	DifMes
-5.89	-6.89	-4.7	DifMes
-7.76	-6.28	-3.47	DifMes
-3.15	-7.03	-1.85	DifMes
-4.64	-8.22	-1.54	DifMes
-5.69	-6.72	-2.93	DifMes
-9.51	-8.03	-4.25	DifMes
-4.61	-5.06	-2.79	DifMes
-7.48	-6	0.17	DifMes
-4.83	-7.59	1.53	DifMes
-6.79	-7.11	-3.62	DifMes
-7.76	-8.76	-6.57	DifMes
-3.9	-6.39	-0.97	DifMes
-7.79	-6.32	-3.17	DifMes
-4.99	-6.83	-3.55	DifMes
-7.92	-6.45	-3.91	DifMes
-7.84	-1.75	3.08	DifMes
-7.21	-5.88	0.15	DifMes
-10.23	-8.76	-3.69	DifMes
-8.36	-9.04	-5.36	DifMes
-9.26	-7.93	-5.12	DifMes
-6.36	-7.05	-4.75	DifMes
-9.3	-7.82	-5.36	DifMes
-6.87	-3.93	-1.56	DifMes
-6.1	-6.94	-3.68	DifMes
-10.43	-8.95	-6.08	DifMes
-7.02	-4.54	-2.43	DifMes
-7.65	-7.9	-2.64	DifMes
-3.74	-5.3	1.93	DifMes
-8.35	-6.88	-2.73	DifMes
-7.46	-5.98	-3.52	DifMes
-2.58	-4.76	-1.17	DifMes
-8.97	-7.49	-3.51	DifMes
-6.42	-6.09	-2.6	DifMes
-4.2	-8.23	-2.11	DifMes
3.33	4.25	6.34	DifMes
2.15	1.21	8.92	DifMes
-7.88	-6.4	-3.11	DifMes
-8.07	-6.59	-3.5	DifMes
-8.25	-6.77	-2.66	DifMes
-8.18	-6.7	-3.77	DifMes
-1.18	-2.1	0.01	DifMes
-3.07	-4.34	-1.85	DifMes
-8.48	-7	-5.02	DifMes
-5.05	-8.25	-2.33	DifMes
-5.19	-1.27	1.15	DifMes
-8.93	-7.45	-3.36	DifMes
-3.51	-6.18	-2.14	DifMes
