ge_ect	ge_end	ge_mes	gene_type
5.84	5.92	5.89	Sim
9.54	9.4	9.55	Sim
8.06	8.27	8.22	Sim
7.94	7.93	8	Sim
9.24	9.03	9.31	Sim
5.35	5.38	5.41	Sim
5.23	5.16	5.34	Sim
6.54	6.33	6.5	Sim
7.82	7.75	7.88	Sim
7.45	7.68	7.43	Sim
8.5	8.32	8.37	Sim
8.45	8.2	8.37	Sim
9.79	9.87	9.89	Sim
7.21	7.18	7.13	Sim
3.94	3.96	3.87	Sim
1.92	1.92	1.87	Sim
4.42	4.49	4.51	Sim
3.67	3.81	3.74	Sim
4	3.99	4.04	Sim
6.69	6.56	6.63	Sim
10.29	10.13	10.33	Sim
6.32	6.37	6.35	Sim
6.49	6.35	6.6	Sim
4.87	4.95	5.04	Sim
6.12	6.13	6.24	Sim
5.69	5.78	5.8	Sim
4.74	4.7	4.88	Sim
10.23	10.06	10.11	Sim
5.71	5.59	5.58	Sim
1.47	1.43	1.45	Sim
5.87	5.67	5.74	Sim
2.5	2.56	2.53	Sim
5.95	5.78	5.74	Sim
6.95	6.83	6.84	Sim
4.51	4.37	4.48	Sim
4.53	4.57	4.58	Sim
7.03	7.17	7.3	Sim
3.28	3.28	3.34	Sim
5.96	5.76	5.82	Sim
5.12	5.02	5.18	Sim
4.07	4.1	4.08	Sim
8.66	8.56	8.81	Sim
4.89	4.87	4.91	Sim
4.59	4.62	4.49	Sim
5.36	5.22	5.19	Sim
7.52	7.46	7.58	Sim
5.13	5.04	5.19	Sim
4.88	4.79	4.75	Sim
4.16	4.11	4.13	Sim
4.41	4.55	4.53	Sim
7.25	7.35	7.33	Sim
7.42	7.31	7.4	Sim
8.1	8.15	8.13	Sim
5.82	5.74	5.89	Sim
9.28	9.18	9.38	Sim
5.29	5.25	5.16	Sim
5.56	5.65	5.76	Sim
8.06	7.89	7.99	Sim
2.6	2.57	2.65	Sim
2.72	2.81	2.78	Sim
5.92	5.98	6.02	Sim
8.9	8.58	8.81	Sim
4.76	4.67	4.73	Sim
5.82	5.81	5.7	Sim
5.21	5.28	5.33	Sim
6.91	7.05	6.95	Sim
5.67	5.65	5.57	Sim
5.92	5.94	6.02	Sim
7.42	7.18	7.42	Sim
8.59	8.28	8.5	Sim
4.27	4.25	4.3	Sim
6.52	6.56	6.75	Sim
5.17	5	5.12	Sim
2.82	2.82	2.85	Sim
8.81	8.97	8.92	Sim
2.43	2.42	2.45	Sim
6.01	5.79	5.91	Sim
3.78	3.87	3.92	Sim
-5.39	-5.32	-5.32	Sim
2.74	2.77	2.74	Sim
8.67	8.53	8.68	Sim
6.16	6.3	6.09	Sim
3.11	3.2	3.2	Sim
5.75	5.72	5.84	Sim
6.29	6.14	6.26	Sim
6.28	6.23	6.28	Sim
2.37	2.29	2.36	Sim
4.55	4.47	4.65	Sim
5.43	5.62	5.57	Sim
6.41	6.23	6.22	Sim
7.58	7.79	7.71	Sim
7.4	7.37	7.59	Sim
5.5	5.57	5.49	Sim
5.88	5.88	5.99	Sim
4.82	4.8	4.96	Sim
6.83	6.57	6.76	Sim
7.16	7.03	7.16	Sim
6.44	6.22	6.43	Sim
6.26	6.27	6.09	Sim
5.83	5.69	5.78	Sim
8.22	7.98	8	Sim
8.3	8.37	8.36	Sim
5.88	5.97	6.04	Sim
5.02	5.05	4.93	Sim
6.93	6.92	6.93	Sim
10.22	10.46	10.23	Sim
4.67	4.78	4.8	Sim
4	4.11	3.99	Sim
6.96	7.01	7	Sim
6.31	6.41	6.45	Sim
6.16	5.92	6.05	Sim
10.11	10.05	10.12	Sim
6.29	6.19	6.36	Sim
7.56	7.68	7.56	Sim
4.68	4.71	4.82	Sim
6.99	6.98	6.84	Sim
8.54	8.38	8.51	Sim
6.94	6.72	6.93	Sim
11.59	11.77	11.58	Sim
4.73	4.85	4.75	Sim
5.21	5.13	5.13	Sim
8.04	8.13	8.14	Sim
4.01	4.14	4.07	Sim
6.05	6.22	6.24	Sim
6.02	6.01	5.91	Sim
6.84	6.77	7.01	Sim
6.74	6.61	6.68	Sim
7	6.93	7.08	Sim
7.8	7.71	7.62	Sim
6.24	6.43	6.24	Sim
8.84	8.74	8.92	Sim
4.64	4.47	4.54	Sim
5.35	5.48	5.36	Sim
8.17	8.39	8.34	Sim
9.34	9.31	9.37	Sim
5.12	5.13	5.08	Sim
8.1	8.13	8.03	Sim
10.19	9.97	9.93	Sim
6.75	6.59	6.75	Sim
7.27	7.15	7.38	Sim
8.05	7.92	8.08	Sim
6.43	6.25	6.2	Sim
2.12	2.16	2.12	Sim
7.5	7.66	7.57	Sim
5.33	5.34	5.34	Sim
5.31	5.34	5.35	Sim
3.53	3.52	3.58	Sim
7.43	7.46	7.38	Sim
8.97	9.01	8.95	Sim
3.54	3.49	3.46	Sim
4.54	4.49	4.62	Sim
4.81	4.76	4.84	Sim
6.06	5.92	6.12	Sim
5.64	5.61	5.58	Sim
5.86	5.89	5.94	Sim
8.78	8.99	8.64	Sim
3.03	2.93	3.01	Sim
8.56	8.35	8.53	Sim
3.24	3.18	3.13	Sim
4.78	4.82	4.72	Sim
8.41	8.25	8.47	Sim
7.76	7.88	7.83	Sim
10.23	9.87	9.94	Sim
9.07	8.89	9.01	Sim
5.64	5.53	5.65	Sim
3.74	3.7	3.62	Sim
6.71	6.45	6.63	Sim
5.18	5.19	5.27	Sim
4.57	4.5	4.59	Sim
8.89	8.95	9.01	Sim
5.87	5.79	5.9	Sim
7.78	8	8	Sim
7.67	7.58	7.72	Sim
4.91	4.89	4.97	Sim
4.02	3.99	4	Sim
4.52	4.44	4.58	Sim
8.35	8.49	8.2	Sim
7.66	7.74	7.68	Sim
6.92	7.14	7.16	Sim
4.78	4.67	4.77	Sim
4.57	4.62	4.59	Sim
8.46	8.52	8.52	Sim
7.64	7.72	7.69	Sim
7.21	7.47	7.46	Sim
6.89	6.7	6.83	Sim
3.52	3.49	3.51	Sim
7.34	7.08	7.14	Sim
5.6	5.53	5.64	Sim
6.14	6.12	6.16	Sim
6.2	6.17	6.15	Sim
6.16	6.28	6.27	Sim
7.44	7.37	7.46	Sim
3.24	3.29	3.25	Sim
4.96	5.11	4.94	Sim
5.89	5.68	5.79	Sim
3.61	3.48	3.53	Sim
3.3	3.22	3.23	Sim
4.61	4.72	4.73	Sim
7.24	7.49	7.31	Sim
2.78	2.71	2.76	Sim
4.94	5	5.12	Sim
5.02	5.06	5.1	Sim
9.16	8.98	9.29	Sim
2.05	2.01	2.1	Sim
6.58	6.34	6.52	Sim
3.34	3.38	3.4	Sim
2.93	3.01	2.9	Sim
8.03	8.06	8.12	Sim
2.97	3.01	3.06	Sim
4.31	4.28	4.23	Sim
5.06	5.02	5.2	Sim
4.39	4.4	4.55	Sim
5.56	5.65	5.66	Sim
1.94	1.93	1.97	Sim
7.32	7.15	7.23	Sim
9.72	9.45	9.75	Sim
5.74	5.55	5.68	Sim
4.26	4.18	4.16	Sim
5.33	5.21	5.23	Sim
4.56	4.6	4.62	Sim
5.98	5.79	5.93	Sim
8.67	8.98	8.86	Sim
11.06	11.06	11.15	Sim
8.03	7.85	7.91	Sim
8.38	8.39	8.39	Sim
5.77	5.71	5.71	Sim
4.73	4.65	4.78	Sim
6.35	6.18	6.36	Sim
4.87	4.78	4.71	Sim
6.5	6.39	6.52	Sim
6.07	5.87	5.95	Sim
8.44	8.48	8.44	Sim
3.85	3.99	3.96	Sim
5.27	5.21	5.22	Sim
6.99	6.93	6.77	Sim
7.08	6.97	7.09	Sim
7.6	7.42	7.71	Sim
3.93	4	4.08	Sim
5.11	5.16	5.17	Sim
3.18	3.12	3.09	Sim
6.76	6.86	6.98	Sim
5.95	5.96	6.1	Sim
1.83	1.89	1.89	Sim
11.53	11.75	11.9	Sim
2.11	2.05	2.12	Sim
4.73	4.77	4.8	Sim
7.35	7.52	7.46	Sim
8.33	8.21	8.46	Sim
5.07	4.98	5.12	Sim
7.04	7.17	6.99	Sim
10.37	10.7	10.55	Sim
2.13	2.17	2.15	Sim
6.86	6.75	6.76	Sim
5.1	5.1	5.03	Sim
5.91	5.75	5.84	Sim
6.6	6.64	6.7	Sim
7.26	7.04	7.14	Sim
9.32	9.19	9.3	Sim
7.73	7.78	7.81	Sim
3.64	3.66	3.69	Sim
3.1	3.12	3.18	Sim
5.28	5.45	5.48	Sim
4.1	4.2	4.15	Sim
4.69	4.73	4.72	Sim
4.18	4.1	4.09	Sim
3.38	3.32	3.35	Sim
8.98	8.97	9.03	Sim
10.21	10	10.22	Sim
7.22	7.12	7.22	Sim
7.31	7.4	7.33	Sim
7.49	7.55	7.59	Sim
3.77	3.88	3.78	Sim
5.92	5.88	5.91	Sim
6.87	7.1	7.04	Sim
7.1	7.2	7.14	Sim
3.95	3.84	3.85	Sim
11.09	11.25	11.23	Sim
6.77	6.65	6.63	Sim
4	3.91	3.86	Sim
5.19	5.2	5.19	Sim
7.43	7.43	7.32	Sim
4.89	4.79	4.87	Sim
6.93	6.76	6.96	Sim
3.4	3.44	3.48	Sim
6.39	6.47	6.29	Sim
9.17	9.1	9.2	Sim
7.45	7.64	7.43	Sim
10.1	10.04	10.11	Sim
7.03	6.9	6.95	Sim
5.59	5.71	5.79	Sim
7.88	7.62	7.84	Sim
2.62	2.52	2.57	Sim
2.42	2.38	2.4	Sim
8.2	8.35	8.27	Sim
4.76	4.85	4.8	Sim
7.84	7.94	7.94	Sim
3.51	3.47	3.55	Sim
7.59	7.43	7.59	Sim
10.03	10.02	10.12	Sim
5.57	5.48	5.66	Sim
6.55	6.53	6.67	Sim
6.23	6.27	6.08	Sim
8.51	8.37	8.49	Sim
3.09	3.09	3.14	Sim
7.09	6.91	7.05	Sim
6.5	6.38	6.5	Sim
9.57	9.79	9.78	Sim
5.67	5.77	5.63	Sim
5.82	5.79	5.85	Sim
5.35	5.21	5.17	Sim
11.72	11.62	11.82	Sim
7.5	7.62	7.61	Sim
10.01	10.27	10.09	Sim
7.88	7.91	7.88	Sim
2.62	2.58	2.61	Sim
8.11	8	8.03	Sim
10.77	10.4	10.6	Sim
5.44	5.61	5.62	Sim
3.83	3.9	3.78	Sim
9.51	9.56	9.63	Sim
5.17	5.09	5.05	Sim
7.94	8.11	7.97	Sim
2.35	2.29	2.37	Sim
8.46	8.55	8.47	Sim
6.34	6.27	6.4	Sim
1.93	1.96	1.91	Sim
6.54	6.61	6.62	Sim
8.05	8.09	8.11	Sim
6.57	6.54	6.57	Sim
10.78	10.62	10.8	Sim
6.89	6.94	6.93	Sim
4.63	4.51	4.6	Sim
6.12	6.09	6.27	Sim
5.06	4.9	4.93	Sim
4.38	4.38	4.46	Sim
3.32	3.4	3.31	Sim
5.38	5.57	5.53	Sim
5.05	5.19	5.11	Sim
5.71	5.75	5.74	Sim
3.96	3.85	3.87	Sim
4.39	4.41	4.51	Sim
7.05	6.83	6.98	Sim
2.53	2.58	2.56	Sim
4.4	4.36	4.44	Sim
3.89	3.75	3.79	Sim
6.42	6.47	6.32	Sim
8.79	8.93	9.06	Sim
8.02	8.09	8.17	Sim
2.98	2.97	3.05	Sim
5.77	5.99	5.83	Sim
4.54	4.69	4.71	Sim
7.33	7.42	7.43	Sim
5.52	5.67	5.51	Sim
6.52	6.64	6.73	Sim
4.5	4.44	4.51	Sim
6.49	6.54	6.43	Sim
6.11	6.05	5.91	Sim
3.7	3.67	3.66	Sim
6.76	6.96	6.83	Sim
3.57	3.57	3.57	Sim
4.36	4.28	4.37	Sim
8.58	8.64	8.77	Sim
7.53	7.63	7.67	Sim
7.76	7.79	7.69	Sim
3.77	3.77	3.85	Sim
6.63	6.76	6.85	Sim
9.7	9.84	9.68	Sim
2.71	2.62	2.68	Sim
7.55	7.58	7.37	Sim
5.13	5.24	5.15	Sim
2	1.98	2.03	Sim
6.04	5.91	5.92	Sim
8.39	8.39	8.44	Sim
6.44	6.27	6.41	Sim
4.63	4.78	4.8	Sim
7.19	7.09	7.12	Sim
5.08	5.03	5.12	Sim
4.89	5.02	4.96	Sim
7.84	7.82	7.98	Sim
7.41	7.61	7.61	Sim
9.82	10.11	9.88	Sim
4.42	4.56	4.51	Sim
8.89	8.98	8.9	Sim
5.11	5.11	5.1	Sim
3.28	3.37	3.35	Sim
6.73	6.73	6.82	Sim
8.28	8.06	8.31	Sim
5.57	5.65	5.45	Sim
6.6	6.59	6.61	Sim
5.55	5.47	5.47	Sim
6.76	6.85	6.81	Sim
7.73	7.67	7.68	Sim
5.37	5.58	5.49	Sim
3.73	3.82	3.76	Sim
9.03	8.96	9.01	Sim
4.28	4.16	4.13	Sim
7.42	7.31	7.27	Sim
6.85	6.9	6.95	Sim
10.14	10.1	10.24	Sim
5.75	5.62	5.62	Sim
6.94	7.14	7.05	Sim
-7.99	-8.25	-7.96	Sim
5.25	5.34	5.35	Sim
8.18	7.96	8.09	Sim
7.92	7.94	7.84	Sim
4.95	4.96	5.01	Sim
3.67	3.57	3.59	Sim
4.43	4.56	4.46	Sim
5.52	5.43	5.43	Sim
3.52	3.49	3.46	Sim
7.63	7.87	7.72	Sim
8.97	9.16	9.13	Sim
10.25	9.87	10.02	Sim
11.45	11.33	11.53	Sim
4.49	4.65	4.65	Sim
7.46	7.35	7.41	Sim
10.12	10.06	10.13	Sim
4.96	4.81	4.94	Sim
2.24	2.25	2.2	Sim
9.93	9.86	10.1	Sim
7.85	7.67	7.85	Sim
10.29	10.46	10.23	Sim
9.11	9.19	9.17	Sim
2.8	2.74	2.8	Sim
7.31	7.26	7.31	Sim
3.01	2.99	2.93	Sim
7.11	7.13	6.91	Sim
8.43	8.4	8.43	Sim
3.64	3.64	3.74	Sim
6.9	6.99	6.89	Sim
8.86	8.92	8.88	Sim
7.54	7.47	7.67	Sim
9.3	9.27	9.33	Sim
5.32	5.24	5.32	Sim
3.28	3.27	3.3	Sim
3.56	3.59	3.51	Sim
9.2	9.22	9.2	Sim
10.03	9.95	10	Sim
4.36	4.27	4.39	Sim
7.97	7.92	7.94	Sim
5.55	5.56	5.38	Sim
7.07	6.93	7.12	Sim
4.07	4.18	4.13	Sim
9.33	9.3	9.37	Sim
6.83	6.75	6.68	Sim
6.24	6.2	6.33	Sim
6.74	6.75	6.76	Sim
7.07	6.83	6.86	Sim
2.65	2.68	2.62	Sim
6.77	6.77	6.73	Sim
6.75	6.92	6.97	Sim
1.8	1.79	1.78	Sim
4.72	4.78	4.63	Sim
4.74	4.87	4.83	Sim
5.59	5.62	5.67	Sim
4.96	4.82	4.87	Sim
6.39	6.24	6.3	Sim
4.28	4.23	4.35	Sim
9.87	9.67	10.04	Sim
4.64	4.51	4.57	Sim
4.63	4.59	4.53	Sim
7.29	7.08	7.31	Sim
6.59	6.73	6.84	Sim
6.52	6.44	6.52	Sim
9.4	9.43	9.48	Sim
8.82	8.89	8.67	Sim
4.27	4.12	4.2	Sim
5.49	5.67	5.7	Sim
8.1	8.25	8.39	Sim
8.08	7.9	8.01	Sim
6.4	6.58	6.59	Sim
8.12	8.18	8.13	Sim
6.39	6.53	6.62	Sim
5.18	5.09	5.17	Sim
5.67	5.59	5.81	Sim
4.71	4.68	4.71	Sim
