gene	chr	start	end	ecto	endo	meso	min_dist	Len	percCG	percGC	percC	percCHG	set	thrE	thrGE	set_ds	log.dist
Wdr12	1	60076868	60098645	7.2505965	6.460221	7.5803447	398	21777	2.1	40.4	16	5	DifM	-12	ALL GE	DEG	2.6009728956867484
Nrp2	1	62703285	62818695	3.2967606	1.8939154	4.70891	204024	115410	2.7	46.8	17	6	DifM	-12	ALL GE	DEG	5.309683386527969
Atic	1	71557150	71579631	8.273605	7.3754926	8.27402	96021	22481	2.8	44.2	15	6	DifM	-12	ALL GE	DEG	4.98237074745608
Pax3	1	78101267	78197134	-0.39457068	-4.3476706	1.0970193	113212	95867	2.4	42.5	17	5	DifM	-12	ALL GE	DEG	5.053896298796628
Twist2	1	91801461	91848028	-3.1759303	-7.084636	1.0045072	129715	46567	2.6	49.1	18	6	DifM	-12	ALL GE	DEG	5.112993548043552
Cdh20	1	104768529	104995481	-0.9471118	-4.610705	3.7324638	143804	226952	1.2	39.4	16	4	DifM	-12	ALL GE	DEG	5.1577739864269665
Prdx6	1	161240112	161251219	10.25364	8.9810505	10.243235	91905	11107	3.5	45.2	17	5	DifM	-12	ALL GE	DEG	4.963343864833685
Pbx1	1	168153527	168432270	6.9033875	6.5645947	7.5928097	317026	278743	2.2	44.2	17	5	DifM	-12	ALL GE	DEG	5.50109625102428
Itpkb	1	180330485	180424802	0.83529675	-5.932633	1.3037091	65	94317	3	49.5	18	6	DifM	-12	ALL GE	DEG	1.8195439355418688
Vash2	1	190947648	190979296	5.5847893	4.183711	5.931323	46894	31648	3.2	50.5	18	7	DifM	-12	ALL GE	DEG	4.671126540195512
Grin1	2	25291181	25319187	-0.60607475	-4.3476706	1.3719524	27967	28006	3.6	52.2	18	7	DifM	-12	ALL GE	DEG	4.4466614109543094
Zeb2	2	44983634	45117395	5.607477	5.004005	6.3448052	6257	133761	2.4	41	16	5	DifM	-12	ALL GE	DEG	3.7964355588101744
Tbr1	2	61802930	61814114	-1.44801	-7.084636	-0.2612049	91236	11184	6.4	48	17	6	DifM	-12	ALL GE	DEG	4.960170996630194
Meis2	2	115863064	116065839	5.2326646	4.224082	6.8081717	1605	202775	2.1	41.5	16	5	DifM	-12	ALL GE	DEG	3.205745540942662
Fbn1	2	125300594	125507993	1.1001939	-1.9784368	2.8667648	2904	207399	2.2	43.4	17	5	DifM	-12	ALL GE	DEG	3.4631461367263494
Fam83c	2	155827548	155834854	-4.1759305	-7.084636	-0.12956087	8066	7306	3.4	51.9	18	7	DifM	-12	ALL GE	DEG	3.906712056942964
Gm11476	2	167553314	167607845	-3.4754908	-7.084636	0.22225145	15119	54531	3.1	52.9	18	7	DifM	-12	ALL GE	DEG	4.179551791165188
Fam65c	2	167980164	168010618	-2.4754908	-7.084636	0.5657078	89	30454	3.3	55.3	20	8	DifM	-12	ALL GE	DEG	1.954242509439325
Trim59	3	69035288	69044755	8.308735	7.439892	8.32262	40017	9467	2.9	38.2	15	4	DifM	-12	ALL GE	DEG	4.60225537988569
Gucy1a3	3	82092428	82145877	0.5722624	-2.6107051	2.142879	71166	53449	1.6	39.8	15	5	DifM	-12	ALL GE	DEG	4.852278658802808
She	3	89831370	89858834	-2.783613	-6.932633	0.6609202	57761	27464	3.1	47.7	17	7	DifM	-12	ALL GE	DEG	4.76164222219881
Car14	3	95897768	95904691	8.205275	7.156569	8.297569	10722	6923	2.7	50.4	18	7	DifM	-12	ALL GE	DEG	4.030316305988586
Cd160	3	96798763	96829351	-0.96647704	-3.610705	1.5303105	67	30588	2.3	45.4	17	6	DifM	-12	ALL GE	DEG	1.8325089127062364
Wnt2b	3	104944805	104961709	2.6021466	0.33415353	5.022075	91437	16904	3.2	48.9	19	6	DifM	-12	ALL GE	DEG	4.961126718278925
Prmt6	3	110246109	110250998	5.323915	4.2602763	5.906549	115490	4889	5.6	46.6	17	6	DifM	-12	ALL GE	DEG	5.062548141781149
Unc5c	3	141465564	141834924	0.33186427	-5.932633	3.2094605	231	369360	1.1	38.1	15	4	DifM	-12	ALL GE	DEG	2.3654879848909
Fubp1	3	152210458	152236830	9.210403	8.145893	9.202229	179	26372	2.3	38.5	13	5	DifM	-12	ALL GE	DEG	2.255272505103306
Gm11827	4	11122805	11126998	-1.1759304	-2.762708	1.3734328	33626	4193	2.7	46.9	18	6	DifM	-12	ALL GE	DEG	4.5266881238843135
Tmem215	4	40472180	40477168	-2.4754908	-7.084636	-0.1211974	53368	4988	4	46	15	6	DifM	-12	ALL GE	DEG	4.727289065300296
Tal1	4	115056426	115071755	-0.700197	-7.084636	1.607824	32282	15329	5	51	16	6	DifM	-12	ALL GE	DEG	4.5089738861152915
Alpl	4	137741733	137796384	5.1045504	2.55922	5.3144426	65853	54651	3.1	51.2	18	7	DifM	-12	ALL GE	DEG	4.818582159330727
Ece1	4	137862237	137965229	4.6878686	3.4149883	5.9876895	21700	102992	3.4	51.9	18	7	DifM	-12	ALL GE	DEG	4.3364797469579965
Gm16503	4	147540218	147543500	0.13695249	-4.932633	0.8535653	13059	3282	0.9	37.9	15	4	DifM	-12	ALL GE	DEG	4.115943176939055
2610109H07Rik	4	148098437	148130698	1.5955591	-2.932633	1.9901041	314	32261	2.9	50.6	19	7	DifM	-12	ALL GE	DEG	2.4983105537896004
Srm	4	148591503	148594993	8.766676	7.5508046	8.943289	5496	3490	6.9	58.6	18	9	DifM	-12	ALL GE	DEG	3.7401257369657306
Dpysl5	5	30711564	30799375	6.3286405	5.534463	6.816903	44787	87811	2.8	47.9	18	6	DifM	-12	ALL GE	DEG	4.65116166953652
Mn1	5	111417362	111457033	4.841574	3.6229146	7.0637927	86599	39671	4.5	53.4	18	7	DifM	-12	ALL GE	DEG	4.937517892017347
Srrm4	5	116439272	116591817	0.98394084	-1.4090711	3.4402947	153097	152545	2.9	47.7	18	6	DifM	-12	ALL GE	DEG	5.184969517317221
Rasl11a	5	146845071	146847726	5.0108027	2.8405063	6.1058407	12181	2655	5.9	50.9	16	7	DifM	-12	ALL GE	DEG	4.085718595165402
Dfna5	6	50189369	50263862	6.416643	5.7137003	6.930349	153621	74493	2	44.7	17	6	DifM	-12	ALL GE	DEG	5.1864534148779615
Hoxa1	6	52155367	52158317	4.048674	1.9191159	4.917753	1415	2950	4.5	47.7	16	6	DifM	-12	ALL GE	DEG	3.15106325335375
Pdzrn3	6	101149609	101377897	3.7166126	1.9346455	4.7227693	418328	228288	2.2	44.8	17	5	DifM	-12	ALL GE	DEG	5.621517972406155
Ccnd2	6	127125779	127151048	8.132515	7.712913	8.803075	41498	25269	3.5	49.3	19	6	DifM	-12	ALL GE	DEG	4.618037631658733
Prmt8	6	127689011	127769472	1.2077739	-2.932633	1.9920329	118117	80461	2.7	48.3	18	6	DifM	-12	ALL GE	DEG	5.072316084785444
Ceacam10	7	24777204	24784649	-2.1315362	-6.932633	2.297484	16893	7445	2.3	45	14	6	DifM	-12	ALL GE	DEG	4.227732489846626
Etv2	7	30633616	30635852	1.3901236	-0.39347425	3.412121	9701	2236	7.5	56.2	20	7	DifM	-12	ALL GE	DEG	3.986861270290045
Kctd15	7	34639014	34655509	3.5528402	1.5751616	4.814181	2325	16495	6	55	20	7	DifM	-12	ALL GE	DEG	3.3666097103924297
Klf13	7	63886351	63938915	6.6138067	5.7159495	6.7915187	22058	52564	3.2	49.9	18	6	DifM	-12	ALL GE	DEG	4.343585820691403
Arrb1	7	99535466	99606771	5.746654	4.152839	6.306182	51728	71305	2.6	51.4	17	7	DifM	-12	ALL GE	DEG	4.713734082919431
Fgf15	7	144896532	144900953	3.0027342	-1.2047126	6.200939	18568	4421	4.6	50.2	17	7	DifM	-12	ALL GE	DEG	4.268788516223584
Eif4ebp1	8	27260327	27275656	7.884892	7.2078776	8.307985	30739	15329	4	49	16	6	DifM	-12	ALL GE	DEG	4.487703863163726
